FHRS_ID,BUSINESS_NAME,BUSINESS_TYPE,LOCAL_AUTHORITY_NAME,LATITUDE,LONGITUDE,RATING_VALUE,INCOME_DECILE,PREDICTED_RATING,RISK_SCORE
4245,Compass At Whitgift School,School/college/university,Croydon,51.35925,-0.09995,5,3,pass,0.13
4271,Westbury Community Project,Other catering premises,Croydon,51.38225,-0.10892,5,1,fail,0.341
4276,H & B Cafe,Restaurant/Cafe/Canteen,Croydon,51.38124,-0.08077,5,3,fail,0.425
4285,Hayes Court Care Home,Caring Premises,Croydon,,,5,6,pass,0.156
4291,Morrisons Daily,Retailers - other,Croydon,51.35218,-0.018,5,2,fail,0.527
4315,Nando's,Restaurant/Cafe/Canteen,Croydon,51.3729,-0.10063,5,1,fail,0.466
4317,The Ship Public House,Pub/bar/nightclub,Croydon,51.37205,-0.1001,5,1,fail,0.362
4322,Greggs,Retailers - other,Croydon,51.37119,-0.10066,5,1,fail,0.547
4331,Hazar Kebab,Takeaway/sandwich shop,Croydon,51.3702,-0.09968,4,5,fail,0.461
4335,Tops Pizza/Wingos Piri Piri,Takeaway/sandwich shop,Croydon,51.36948,-0.10002,5,1,fail,0.544
4345,Purley Bon Bon,Retailers - other,Croydon,51.33851,-0.11568,5,3,fail,0.506
4346,Superfryer,Restaurant/Cafe/Canteen,Croydon,51.3382,-0.11537,5,3,fail,0.425
4351,Sainsbury's,Retailers - supermarkets/hypermarkets,Croydon,51.33959,-0.1144,5,3,pass,0.209
4370,Flavaz First,Takeaway/sandwich shop,Croydon,51.39962,-0.07425,3,2,fail,0.524
4372,The Prince George,Pub/bar/nightclub,Croydon,51.39787,-0.09313,5,2,fail,0.343
4378,Zenith Halal Butchers,Retailers - other,Croydon,51.39818,-0.09359,2,2,fail,0.527
4385,High View Care Services,Caring Premises,Croydon,51.419,-0.08931,5,4,pass,0.179
4387,Ladels Day Nursery,Caring Premises,Croydon,51.40735,-0.10924,5,1,pass,0.218
4475,Sodexo @ Oasis Academy Coulsdon,School/college/university,Croydon,51.30011,-0.11388,5,10,pass,0.077
4477,Riddlesdown Collegiate,School/college/university,Croydon,51.32509,-0.08918,5,8,pass,0.089
4488,Mulberry Kindergarten,Caring Premises,Croydon,51.39194,-0.06961,5,2,pass,0.205
4559,David Lean Cinema,Retailers - other,Croydon,51.37191,-0.09951,5,1,fail,0.547
4560,The Spread Eagle,Pub/bar/nightclub,Croydon,51.37262,-0.09963,5,1,fail,0.362
4627,Mario's Snack Bar,Mobile caterer,Croydon,,,4,,,
4655,Shirley Funshine Day Nursery,Caring Premises,Croydon,51.37623,-0.03596,5,8,pass,0.135
4672,P.A.C.E.,Restaurant/Cafe/Canteen,Croydon,51.33484,-0.11885,5,6,fail,0.366
4674,The Bulls Head,Pub/bar/nightclub,Croydon,51.36966,-0.10102,5,2,fail,0.343
4719,Trinity Sanderstead Sports & Social Club,Other catering premises,Croydon,51.32994,-0.06962,5,10,pass,0.197
4732,Central Stores,Retailers - other,Croydon,51.32915,-0.07419,4,10,fail,0.364
4733,Panahar,Restaurant/Cafe/Canteen,Croydon,51.31981,-0.06525,4,6,fail,0.366
4737,Co-Op,Retailers - supermarkets/hypermarkets,Croydon,51.32005,-0.06452,5,6,pass,0.171
4773,Kenley Sports Club And Cricket Ground,Restaurant/Cafe/Canteen,Croydon,51.32725,-0.10619,4,6,fail,0.366
4780,Reedham Park Tennis Club,Restaurant/Cafe/Canteen,Croydon,51.32297,-0.11754,4,10,pass,0.292
4783,MRCS Limited,Caring Premises,Croydon,51.38832,-0.10634,5,1,pass,0.218
4805,Mei Fo House,Takeaway/sandwich shop,Croydon,51.38078,-0.08794,5,3,fail,0.503
4812,The Co-Op,Retailers - supermarkets/hypermarkets,Croydon,51.38078,-0.08794,5,3,pass,0.209
4827,Nisa Local,Retailers - other,Croydon,51.37962,-0.07494,5,6,fail,0.444
4832,Greggs,Retailers - other,Croydon,51.38078,-0.07244,5,7,fail,0.423
4835,Top Star Cafe,Restaurant/Cafe/Canteen,Croydon,51.38211,-0.06859,5,5,fail,0.385
4838,The Fish House,Restaurant/Cafe/Canteen,Croydon,51.38213,-0.06978,5,5,fail,0.385
4840,Vic Gibson Butchers,Retailers - other,Croydon,51.38213,-0.06978,5,5,fail,0.464
4844,Co-op Supermarket,Retailers - supermarkets/hypermarkets,Croydon,51.38204,-0.06996,5,5,pass,0.183
4846,Favorite Chicken & Ribs,Takeaway/sandwich shop,Croydon,51.38213,-0.06967,5,5,fail,0.461
4849,Welcome Friends,Restaurant/Cafe/Canteen,Croydon,51.37995,-0.07349,4,6,fail,0.366
4851,Wessons Post Office,Retailers - other,Croydon,51.33328,-0.09892,3,8,fail,0.403
4879,Shirley Park Bowling Club,Other catering premises,Croydon,51.37106,-0.06688,4,9,pass,0.21
4887,17th Purley Scout Group,Other catering premises,Croydon,51.30954,-0.12646,5,9,pass,0.21
4896,Hunters Lodge,Restaurant/Cafe/Canteen,Croydon,51.35025,-0.09171,5,6,fail,0.366
4907,Brightsparks Day Nursery,Caring Premises,Croydon,51.33184,-0.14164,5,9,pass,0.126
4918,Rutherford School,School/college/university,Croydon,51.36131,-0.07935,5,8,pass,0.089
4935,Morrisons Daily,Retailers - other,Croydon,51.33603,-0.00516,5,3,fail,0.506
4950,Beckmead School,School/college/university,Croydon,51.37881,-0.0273,5,8,pass,0.089
4967,Barrington Lodge Nursing Home,Caring Premises,Croydon,51.38116,-0.08503,5,3,pass,0.191
4971,Addiscombe Sports & Social Club,Restaurant/Cafe/Canteen,Croydon,51.38378,-0.07655,5,4,fail,0.405
4972,Spar Morland Road,Retailers - other,Croydon,51.38385,-0.07757,4,4,fail,0.485
4974,Simply Foods (BP),Retailers - other,Croydon,51.37918,-0.11119,5,1,fail,0.547
4983,Superstore Food & Wine,Retailers - other,Croydon,51.38602,-0.12288,5,2,fail,0.527
